payment_id,customer_id,timestamp,amount,payment_method,failure_reason,customer_age,previous_successes,previous_failures,customer_value,subscription_age,days_since_last_payment
PAY-0000001,CUST-02836,2026-04-28 21:13:00,369.45,netbanking,temporary_bank_failure,46,5,5,3322.91,11,18
PAY-0000002,CUST-00060,2026-04-28 21:41:00,1652.4,upi,network_error,38,11,4,8291.92,17,20
PAY-0000003,CUST-01461,2026-04-28 21:48:00,433.62,card,insufficient_funds,69,6,5,8254.52,4,18
PAY-0000004,CUST-00926,2026-04-28 21:51:00,785.82,card,insufficient_funds,58,8,6,18031.02,15,19
PAY-0000005,CUST-02630,2026-04-28 22:01:00,376.12,upi,hard_decline,30,8,4,3511.97,7,15
PAY-0000006,CUST-02745,2026-04-28 22:13:00,329.71,upi,insufficient_funds,25,11,1,8660.99,7,11
PAY-0000007,CUST-02095,2026-04-28 22:26:00,148.46,upi,network_error,20,8,3,3945.79,10,14
PAY-0000008,CUST-01913,2026-04-28 22:30:00,881.49,upi,temporary_bank_failure,60,6,3,5820.14,9,14
PAY-0000009,CUST-02534,2026-04-28 22:53:00,563.83,upi,network_error,52,2,5,4120.33,9,8
PAY-0000010,CUST-03577,2026-04-28 22:53:00,1770.73,wallet,insufficient_funds,44,5,6,4859.52,10,19
PAY-0000011,CUST-01464,2026-04-28 23:09:00,63.77,card,insufficient_funds,39,8,3,5381.65,5,14
PAY-0000012,CUST-00753,2026-04-28 23:19:00,1070.81,card,insufficient_funds,22,5,5,1536.39,10,17
PAY-0000013,CUST-01765,2026-04-28 23:26:00,385.4,card,card_expired,21,2,3,1489.05,6,17
PAY-0000014,CUST-03342,2026-04-28 23:52:00,847.29,card,hard_decline,42,7,4,6970.88,5,13
PAY-0000015,CUST-00258,2026-04-29 00:11:00,90.4,card,insufficient_funds,35,8,3,2644.58,10,16
PAY-0000016,CUST-00701,2026-04-29 00:14:00,4231.44,upi,temporary_bank_failure,47,10,4,9377.05,14,12
PAY-0000017,CUST-03724,2026-04-29 00:28:00,630.18,upi,network_error,51,4,5,7899.41,5,19
PAY-0000018,CUST-02177,2026-04-29 00:40:00,1922.11,netbanking,insufficient_funds,49,3,2,5480.08,5,21
PAY-0000019,CUST-00790,2026-04-29 00:56:00,1609.2,upi,network_error,33,4,6,3202.24,4,21
PAY-0000020,CUST-02544,2026-04-29 00:59:00,822.28,upi,network_error,68,7,4,7110.73,6,17
PAY-0000021,CUST-01476,2026-04-29 01:14:00,1271.62,upi,network_error,33,6,3,3170.42,3,18
PAY-0000022,CUST-01467,2026-04-29 01:22:00,1081.1,card,card_expired,69,3,3,1219.95,3,18
PAY-0000023,CUST-03753,2026-04-29 01:27:00,1016.64,card,insufficient_funds,33,5,4,3129.84,7,11
PAY-0000024,CUST-03941,2026-04-29 01:32:00,663.52,card,network_error,61,9,1,4015.45,9,6
PAY-0000025,CUST-02273,2026-04-29 01:49:00,865.12,netbanking,temporary_bank_failure,69,8,5,6226.59,8,26
